"MAR/2025"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"904,10"
"MAR/2025"	"68806"	"DEVOLUCAO DE SALARIOS"	"238,60"
"MAR/2025"	"80105"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.NAO AJ"	"474.200,50"
"MAR/2025"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"988.368,89"
"MAR/2025"	"98815"	"DEPOSITOS DE TERCEIROS"	"150,00"
"MAR/2025"	"Total"		"5.296.123,60"
"Total"	""		"166.522.450,78"


Páginas:
Ano Lançamento: 2024


"Mês Lançamento"	"Conta Contábil"		"724210100"
 	 		"= ARRECADACAO LIQUIDA POR COD DE RECOLHIMENTO"
 	"Cód. Recolhimento GRU"		"Movim. Líquido - Moeda Origem (Conta Contábil)"
"JAN/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"4.165.000,00"
"JAN/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"7.634,35"
"JAN/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"4.493.926,43"
"JAN/2024"	"28881"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE PROP"	"365,55"
"JAN/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"7.804,74"
"JAN/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"218.813,74"
"JAN/2024"	"Total"		"8.893.544,81"
"FEV/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"3.825.225,54"
"FEV/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"16.335,48"
"FEV/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"2.766.362,36"
"FEV/2024"	"80105"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.NAO AJ"	"2.250.993,77"
"FEV/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"175.621,74"
"FEV/2024"	"Total"		"9.034.538,89"
"MAR/2024"	"18822"	"STN OUTRAS RECEITAS"	"0,01"
"MAR/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"3.953.350,00"
"MAR/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.472,64"
"MAR/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"850.393,28"
"MAR/2024"	"28881"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE PROP"	"11.005,73"
"MAR/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"270,09"
"MAR/2024"	"68888"	"ANUL.DESPESA NO EXERCICIO"	"0,00"
"MAR/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"172.938,99"
"MAR/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"42.500,00"
"MAR/2024"	"Total"		"5.031.930,74"
"ABR/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"6.331.434,46"
"ABR/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.367,48"
"ABR/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"239.843,85"
"ABR/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"270,09"
"ABR/2024"	"68806"	"DEVOLUCAO DE SALARIOS"	"250,00"
"ABR/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"383.634,02"
"ABR/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"86.075,54"
"ABR/2024"	"Total"		"7.042.875,44"
"MAI/2024"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"2.291,22"
"MAI/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"4.653.750,00"
"MAI/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"19.492,25"
"MAI/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"912.836,84"
"MAI/2024"	"68806"	"DEVOLUCAO DE SALARIOS"	"2.054,80"
"MAI/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"174.900,54"
"MAI/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"170.000,00"
"MAI/2024"	"Total"		"5.935.325,65"
"JUN/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"4.407.250,00"
"JUN/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.961,71"
"JUN/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"115.485.885,74"
"JUN/2024"	"28881"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE PROP"	"11.014,47"
"JUN/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"147,44"
"JUN/2024"	"68806"	"DEVOLUCAO DE SALARIOS"	"81,13"
"JUN/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"152.458,53"
"JUN/2024"	"Total"		"120.058.799,02"
"JUL/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"6.091.100,00"
"JUL/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.324,48"
"JUL/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"5.079.125,72"
"JUL/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"6.013,64"
"JUL/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"1.117.570,37"
"JUL/2024"	"Total"		"12.295.134,21"
"AGO/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"5.082.191,00"
"AGO/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"16.327,48"
"AGO/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"3.323.720,37"
"AGO/2024"	"80105"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.NAO AJ"	"(2.250.993,76)"
"AGO/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"151.654,23"
"AGO/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"85.000,00"
"AGO/2024"	"Total"		"6.407.899,32"
"SET/2024"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"1.244,37"
"SET/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"6.009.500,00"
"SET/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"2.326,00"
"SET/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"20.726.225,51"
"SET/2024"	"28886"	"OUTRAS RECEITAS PROPRIAS"	"3.717,72"
"SET/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"2.388,92"
"SET/2024"	"68806"	"DEVOLUCAO DE SALARIOS"	"0,00"
"SET/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"4.575.122,91"
"SET/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"127.500,00"
"SET/2024"	"Total"		"31.448.025,43"
"OUT/2024"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"1.273,48"
"OUT/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"6.162.500,00"
"OUT/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.463,88"
"OUT/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"6.607.674,24"
"OUT/2024"	"28886"	"OUTRAS RECEITAS PROPRIAS"	"417,74"
"OUT/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"2.860,31"
"OUT/2024"	"68806"	"DEVOLUCAO DE SALARIOS"	"1.692,19"
"OUT/2024"	"68808"	"DEVOL SUPRIMENTO FUNDOS-EXERCICIO"	"116,60"
"OUT/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"286.961,32"
"OUT/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"160,00"
"OUT/2024"	"Total"		"13.065.119,76"
"NOV/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"5.500.002,78"
"NOV/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.759,35"
"NOV/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"2.093.220,93"
"NOV/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"5.671,00"
"NOV/2024"	"68888"	"ANUL.DESPESA NO EXERCICIO"	"656,97"
"NOV/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"39.510.786,45"
"NOV/2024"	"88800"	"PGF/RDA-MULTA INFR.CONTRATO ADMINISTRATIVO"	"1.424.840,96"
"NOV/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"0,00"
"NOV/2024"	"Total"		"48.536.938,44"
"DEZ/2024"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"0,01"
"DEZ/2024"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"6.451.766,00"
"DEZ/2024"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"2.962,48"
"DEZ/2024"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"865.909,34"
"DEZ/2024"	"28886"	"OUTRAS RECEITAS PROPRIAS"	"513,53"
"DEZ/2024"	"68802"	"DEVOL.DIARIAS-EXERCICIO"	"681,60"
"DEZ/2024"	"68806"	"DEVOLUCAO DE SALARIOS"	"2.530,03"
"DEZ/2024"	"68808"	"DEVOL SUPRIMENTO FUNDOS-EXERCICIO"	"1.793,58"
"DEZ/2024"	"80105"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.NAO AJ"	"1.477.434.731,30"
"DEZ/2024"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"20.385.014,48"
"DEZ/2024"	"98815"	"DEPOSITOS DE TERCEIROS"	"85.000,00"
"DEZ/2024"	"Total"		"1.505.230.902,35"
"Total"	""		"1.772.981.034,06"


